,Seite,Textstelle,Metapher?,Fokus,Rahmen,"Stärkegrad (A, B, C)",Begründung/Kommentar,Annotator,Unnamed: 2,Semantikerweiterung?,Unersetzlich?,sprachlich irregulär?,pointiert?
2169,,"So sind Verfassungsund Verwaltungsbestimmungen, Strafrecht und Vermögensbezw. Erbrecht, gleichviel ob keimartig oder scharf ausgeprägt, vom ersten Augenblicke des sozialen Lebens an vorhanden 2), während andere speziellere Gebiete sich nach und nach einstellen3).",Metapher,keimartig oder scharf,"Verfassungsund Verwaltungsbestimmungen, Strafrecht und Vermögensbezw. Erbrecht",B,,K,,,,,
2170,,"wenn wir von dem schlechten Worte »Rechtsphilofophie« absehen, so vergißt man bei jener Annahme, einmal daß eine Philosophie, welche die Prinzipien erst aufstellt und dann erprobt. schwindsüchtig ist und zweitens daß eine »Rechtsphilosophie« nicht Ergründung von Prinzipien, sondern höchstens nur Verwendung derselben für ein allgemeines Weltbild (: Philosophie) ist.",Metaphernkandidat,,,,,K,,,,,
2171,,"Dies lehrt uns der Schauplatz dieser Verbindungen und Anstrengungen, die Entwicklung der Familie und die Klassenbildung",Metapher,der Schauplatz,dieser Verbindungen und Anstrengungen,B,,K,,,,,
2172,,"Darum nimmt man hier auch an, das Material, aus dem die unteren Klassen bestehen, sei der Bodensatz der Gesellschaft2).",Metapher,der Bodensatz,"das Material, aus dem die unteren Klassen bestehen",A,,K,,,,,
2173,,So ist nach Marx die Tradition (in: der achtzehte Brumaire des Louis Nopolåon 1852) »ein Alp auf dem Gehirrne der Lebenden.«,Metapher,ein Alp auf dem Gehirrne,die Tradition,A,,K,,,,,
2174,,"Denn es ist auf Grund der bisherigen Bestimmungen klar, daß ein jeder sonstige Reformationsversuch der eben mit den Entwicklungsursachen des sozialen Wesens und ihrem Wesen nicht rechnet, einfach als die Tendenz angesehen werden muß, im Wasser ein Loch zu bohren.",Metaphernkandidat,,,,,K,,,,,
2175,,"So finden wir in der Geschichte, daß die traditionsreichsten Nationen auch die (wenn auch nur in einer bestimmten Richtung) entwicklungsfähigsten und die unermüdlichsten Nationen sind, daß die Nationen, die versumpfen, solche ohne Traditionen oder traditionsvergeleiche sind",Metapher,versumpfen,Nationen,A,,K,,,,,
2176,,"Wenn man gewöhnlich mit Aristoteles, Pol. I, 6, 2, III, 6, 6 die Unzufriedenheit als Schwächung des sozialen Lebens (des Staates) ansieht, so liegt der Fehler darin, daß dabei ein bestehender Staat, ein positiver Zustand berücksichtigt wird und man verkennt, daß, wenn man hierin auch nicht unzufrieden wäre, er durch die Zufriedenheit als Blutzirlulationsstillstand zu grunde gehen würde.",Metaphernkandidat,,,,,K,,,,,
2177,,"Ich hatte schon erwähnt, daß die Materie des sozialen Lebens (die Menschen) faktisch nicht selbstständige und gleichberechtigte Individuen zeigt, sondern daß es sich bei dieser Materie geschichtlich um kleinere oder größere Aggregatverbindungen von Individuen handelt.",Metapher,Aggregatverbindungen,von Individuen,A,,K,,,,,
2178,,"Dort hatte ich es aber unterlassen, für die Erscheinung des ersten organisierten Zusammenhaltens von Menschen irgend einen so zusagen handgreiflichen Grund anzugeben; denn so fest es einerseits steht,  daß das soziale Leben Werk des menschlichen Geistes ist, so spekulativ und willkürlich wäre die Angabe eines positiven Grundes für jene Tat des Geistes: wenn man geneigt ist auch hier die Lehre vom Kampfe ums Dasein in Anspruch zu nehmen, so mache ich vielmehr darauf aufmerksam, daß da die ursprüngliche Allgleichheit eine schöne Fabel ist und da die Organisation monarchisch oder aristokratisch bewerkstelligt wurde, ein Prinzip des Daseinskampfes nach außen als der Schöpfer des sozialen Lebens nicht einmal vermutet werden darf.",Metaphernkandidat,,,,,K,,,,,
2179,,"Denn es haben zwar die besonneneren Anhänger eines Naturrechts als des »rechten« Rechtes, das von jeher existiert, erstens thn  1) Vgl. weiteres darüber gleich unten im Texte.              Soziologie. 103  die eigentliche Spitze abgebrochen, indem sie es nicht als durch das positive Recht umgestoßen auffaßten und zweitens es auch nicht als einen solchen Inhalt wie Gleichheit und Freiheit, sondern nur als einen Begriff für allgemein gültige menschliche Verhältnisse bestimmt.",Metaphernkandidat,,,,,K,,,,,
2180,,"wenn wir uns ein Prinzip denken und auf Grund dessen staatliche Menschenverhältnisse entwickeln, so  müssen wir auf alle Fälle, wenn die so bestimmten Verhältnisse nicht nach dem Willen des »Gesetzgebers« verstellbare Puppen oder Einwohner der Insel Utopia (= Nirgendsort) betreffen sollen, erst uns klar werden, wie es sich mit der Notwendigkeit der Verhältnisse verhält.",Metaphernkandidat,,,,,K,,,,,
2181,,"Die unteren Klassen innerhalb eines sozialen Verbandes sind nicht der Bodensatz der Nation, wie man auf Grund von falschen Spekulationen annahm,",Metapher,der Bodensatz,Die unteren Klassen innerhalb eines sozialen Verbandes,A,,K,,,,,
2182,,"Wenn die Basis, der Grund einer Begebenheit nichts anderes sein kann, als bekanntlich der Träger derselben, d. h. der Boden, in dem sie wurzelt, so ist die Frage nach der Basis der Entwicklung des sozialen Lebens bezw. der Geschichte für uns kein Problem.",Metaphernkandidat,,,,,K,,,,,
2183,,"Organismen und Staaten. 141  Daß nun die Jahrhunderte nach der Renaissance insbesondere der Entwicklung der Nationen und Staaten gegolten haben, und daß die Entwicklung der Zivilisation insbesondere in der jüngsten Zeit zur Bildung der Großmächte führte, und ihrem starken Arm Schwert und Panzer verlieh; dies bedarf nur eines Hinweises, um klar und deutlich vor aller Augen zu stehen.",Metaphernkandidat,,,,,B,,,,,
2184,,"Zugleich aber vermag der Stein auch dann noch eine beredte Sprache zu führen, wenn der Mensch, der ihn zur Teilnahme an seinem Leben und zum Zeugen seiner Arbeit berufen hatte, längst wieder zu Staub geworden ist.",Metaphernkandidat,,,,,B,,,,,
2185,,"Nur empfiehlt er, den Begriff heute soweit zuzulassen, wie er seinem ursprünglichen Wortsinn nach Geltung hatte, nämlich als Unterart (Subspezies), aber nicht als höchsten Gattungsbegriff, zu dem unsere modernen Rassentheoretiker ihren verzogenen Liebling avancieren lassen.",Metaphernkandidat,,,,,B,,,,,
2186,,"Ferner haben wir gesehen, daß wir dem europäischen Typus den Wert und den Namen einer eigenen Rasse beizulegen berechtigt sind, weil er seine physischen und psy             Organismen und Staaten. 117  chischen Merkmale mit hinreichender Konstanz vererbt, dergestalt, daß sich diese Rasse nach allen Erdteilen verpflanzt und überall ihre Eigenart zu sichern vermag.",Metaphernkandidat,,,,,B,,,,,
2187,,"Durch unser klassifizierendes Denken haben wir in den Haushalt der Natur, der unseren Vorfahren, den Fetischanbetern noch heilloser Wirrwarr, willkürlicher Chaos war, Ordnung, Plan, Zusammenhang System und zuletzt — Gesetzmäßigkeit gebracht oder wenigstens gedeutet.",Metaphernkandidat,,,,,B,,,,,
2188,,"Sie war tief in die Herzen des Volkes eingegraben; nicht nach den Worten, sondern nach den Werken wurde dabei gefragt; lange bevor etwas darüber geschrieben war, hatte die Lehre als Brauch bestanden, als Gebot der Ehre unter den Samurai.«  Wir sehen hieraus, daß die Japaner in jeder Beziehung die charakteristischen Merkmale des Ehrbegriffes der aktiven Rassen teilen und daß sie infolgedessen innerhalb der gelben Rasse eine ganz besondere Stellung einnehmen.",Metaphernkandidat,,,,,B,,,,,
2189,,"Der Schimmer einer hohen sittlichen Idee aber verblaßt, wenn man das Volk nur als eine Summe der jeweiligen einzelnen Volksgenossen betrachtet, von deren Verhalten von Individuum zu Individuum das Gebot gilt: Liebe deinen Nächsten als dich selbst.",Metaphernkandidat,,,,,B,,,,,
2190,,"Bleiben wir bei diesem Vorgange, der sich in den verflossenen vier Jahrhunderten abspielte, einen Augenblick stehen; er ist geeignet, uns sowohl die Ursachen der Überlegenheit des Europäers zu erschließen, wie auch, uns seine Eigenart als konstante Rasse noch weiter zu veranschaulichen.",Metaphernkandidat,,,,,B,,,,,
2191,,"Zu der richtigen Deutung dieser Erscheinungen konnte er aber nicht gelangen, weil ihm hierzu der Schlüssel der Deszendenztheorie fehlte.",Metaphernkandidat,,,,,B,,,,,
2192,,Organismen und Staaten. 167  Aber das eine dürfen wir nicht vergessen; für ein sachlich richtiges Handeln ist sowohl eine verstandsmäßige wie eine gefühlsmäßige Auffassung der Dinge notwendig; beide Auffassungen sind erforderlich um den schmalen Weg der Pflicht richtig zu begrenzen.,Metaphernkandidat,,,,,B,,,,,
2193,,"Und diese züchtende, seit uralten Zeiten bestehende Institution, wollen diese neuen Apostel der Weisheit abschaffen.",Metaphernkandidat,,,,,P,,,,,
2194,,"Manchmal ist das Vorwärtsstürzen des Menschen so rasch, daß sie eine Wüste hinter ihm bildet.",Metaphernkandidat,,,,,P,,,,,
2195,,Werden dann die Vereinigten Staaten Schildwache über Canada stehen für den Fall eines Angriffs auf dasselbe?,Metaphernkandidat,,,,,P,,,,,
2196,,"Das Gesetz ist dadurch nicht aufgehoben, muß aber als unkonstitutionell angesehen werden und wird durch ein solches Urteil sehr bald zum toten Buchstaben.",Metaphernkandidat,,,,,P,,,,,
2197,,"Die Organisation, wie das natürlich ist, geht zeitweise zu weit, und es findet eine politische Revolution statt, in welcher Tammanh unterliegt; alsdann ist allgemeines »Soreeching of the american eagle«, und man hört hochklingende Phrasen und Editorials »Honesty redeemed« 2c., nur um nach zwei Jahren bei der nächsten Wahl, wenn die allgemeine Entrüstung verdunstet ist, die unverwüstliche Tammanhbande wieder am Ruder zu sehen.",Metaphernkandidat,,,,,P,,,,,
2198,,"Entweder Sozialismus, Stillstand und eventuell Rückgang, oder fortschreitende Differenzierung mit Zertrümmerung des Sozialismus und siegreichem Fortschritt.",Metaphernkandidat,,,,,P,,,,,
2199,,Die Gebeine des größten Teiles dieser Abenteurer bleichen mit denen der Büffel in den weiten Ebenen des Westens.,Metaphernkandidat,,,,,P,,,,,
2200,,"Die ersteren erließen Gesetze, durch welche sie die Frachten dieser Eisenbahnen in eigenmächtiger und geradezu gewalttätiger Weise beeinflussen wollten.",Metaphernkandidat,,,,,P,,,,,
2201,,"Unter solchen Umständen ist es natürlich, daß sich alles auf einen Geldmaßstab reduziert.«  Daß Menschen, welche mit solcher Leidenschaft, Energie und Rücksichtslosigkeit vorgehen, um reich zu werden, auch die Zukunft ohne Bedenken dem momentanen Besitze opfern, also die Gans töten, welche die goldenen Eier legt, nur um die, welche sie noch in sich trägt, schnell zu erbeuten, daß solche Leute auch arg mit der Fauna und Flora ihres Landes umgehen, ist beinahe selbstverständlich.",Metaphernkandidat,,,,,P,,,,,
2202,,"Alle Ämter, auch die der Gemeinde, sind besoldet; viele jedoch nur durch Gebühren für geleistete Dienste. — Die Majorität herrscht absolut, und da sie das souveräne Volk selbst ist, so wird sie zum Tyrannen, der sich vor nichts scheut.",Metaphernkandidat,,,,,P,,,,,
2203,,"Das einzige, was die europäischen Staaten tun können, ist in der Defensive sich ebenso hinter hohe Schutzzölle zu verschanzen und in der Offensive eine viel höhere Organisation, größeres Wissen und noch viel mehr Staatssozialismus, viel mehr Tätigkeit und vor allem viel mehr Einigkeit zu entwickeln.",Metaphernkandidat,,,,,P,,,,,
2204,,Kunst und Wissenschaft können in einem solchen Staate nicht blühen; Kunst bedarf des Reichtums und hohe Wissenschaft der Individualität; beide werden getötet in dem sozialistischen Staate.,Metapher,werden getötet,Individualität,A,,P,,,,,
2205,,"[1]: Während diese reinen Empiriker „den Wald vor Bäumen nicht sehen“, begnügen sich jene Metaphysiker mit dem bloßen Begriffe des Waldes, ohne seine Bäume zu sehen.",Metaphernkandidat,,,,,A,,,,,
2206,,"[2]: Diese naturphilosophische Gedanken- Arbeit erstreckt sich jetzt über ein volles halbes Jahrhundert, und ich darf jetzt, in meinem 66. Lebensjahre, wohl annehmen, daß sie reif im menschlichen Sinne ist; ich bin auch völlig gewiß, daß diese „reife Frucht“ vom Baume der Erkenntniß für die kurze Spanne des Daseins, die mir noch beschieden ist, keine bedeutende Vervollkommnung und keine principiellen Veränderungen erfahren wird.",Metapher,„reife Frucht“,meinem 66. Lebensjahre,B,,A,,,,,
2207,,"[2]: Diese naturphilosophische Gedanken- Arbeit erstreckt sich jetzt über ein volles halbes Jahrhundert, und ich darf jetzt, in meinem 66. Lebensjahre, wohl annehmen, daß sie reif im menschlichen Sinne ist; ich bin auch völlig gewiß, daß diese „reife Frucht“ vom Baume der Erkenntniß für die kurze Spanne des Daseins, die mir noch beschieden ist, keine bedeutende Vervollkommnung und keine principiellen Veränderungen erfahren wird.",Metapher,Baume,der Erkenntniß,B,,A,,,,,
2208,,"[3]: Indem ich hiermit von meinen Lesern mich verabschiede, spreche ich die Hoffnung aus, daß ich durch meine ehrliche und gewissenhafte Arbeit — trotz ihrer mir wohl bewußten Mängel — ein kleines Scherflein zur Lösung der „Welträthsel“ beigetragen habe, und daß ich im Kampfe der Weltanschauungen manchem ehrlichen und nach reiner Vernunft-Erkenntniß ringenden Leser denjenigen Weg gezeigt habe, der nach meiner festen Ueberzeugung allein zur Wahrheit führt, den Weg der empirischen Naturforschung und der darauf gegründeten monistischen Philosophie.",Metaphernkandidat,,,,,A,,,,,
2209,,"[4]: Indem dieses „kosmologische Grundgesetz“ die ewige Erhaltung Kraft und des Stoffes, die allgemeine Constanz der Energie und der Materie im ganzen Weltall nachweist, ist es der sichere Leitstern geworden, der unsere monistische Philosophie durch das gewaltige Labyrinth der Welträthsel zu deren Lösung führt.",Metapher,gewaltige Labyrinth,der Welträthsel,A,,A,,,,,
2210,,"[5]: Zwar haben einzelne denkende Forscher schon seit Jahrtausenden von „Entwickelung“ der Dinge gesprochen; daß aber dieser Begriff das Universum beherrscht, und daß die Welt selbst weiter Nichts ist, als eine ewige „Entwickelung der Substanz“, dieser gewaltige Gedanke ist ein Kind unseres 19. Jahrhunderts.",Metaphernkandidat,,,,,A,,,,,
2211,,"[6]: Damit wurde uns zugleich der Schlüssel zur „Frage aller Fragen“ geschenkt, zu dem großen Welträthsel von der „Stellung des Menschen in der Natur“ und von seiner natürlichen Entstehung.",Metaphernkandidat,,,,,A,,,,,
2212,,[7]: drei genialen Naturphilosophen; sie leuchten uns deßhalb als drei Sterne erster Größe,Metaphernkandidat,,,,,A,,,,,
2213,,"[8]: Wenn wir heute im „Zeitalter des Verkehrs“ stehen, wenn der internationale Handel und das Reisen eine früher nicht geahnte Bedeutung erlangt haben, wenn wir mittels Telegraph und Telephon die Schranken von Raum und Zeit überwunden haben, so verdanken wir das in erster Linie den technischen Fortschritten der Physik, besonders in der Anwendung der Dampfkraft und der Elektricität.",Metaphernkandidat,,,,,A,,,,,
2214,,"[9]: Keine Woche vergeht, in der wir nicht von richterlichen Urtheilen lesen, über welche der „gesunde Menschen-Verstand“ bedenklich das Haupt schüttelt; viele unserer höheren und niederen Gerichtshöfe erscheinen geradezuEntscheidungen unbegreiflich.",Metapher,Haupt schüttelt,richterlichen Urtheilen,A,,A,,,,,
2215,,"[10]: Wenn diese unschätzbaren biologischen und anthropologischen Vorkenntnisse unsere „Staatslenker“ besäßen, und unsere „Volksvertreter“, die mit ihnen zusammenwirken, so würde unmöglich in den Zeitungen täglich jene entsetzliche Fülle von sociologischen Irrthümern und von politischer Kannegießerei zu lesen sein, welche unsere Parlaments-Berichte und auch viele Regierungs-Erlasse nicht gerade erfreulich auszeichnen.",Metaphernkandidat,,,,,A,,,,,
2216,,"[11]: Dagegen erscheint unseren meisten Lehrern immer noch als Hauptaufgabe jene todte Gelehrsamkeit, die aus den Klosterschulen des Mittelalters übernommen ist; im Vordergrunde steht der grammatikalische Sport und die zeitraubende „gründliche Kenntniß“ der klassischen Sprachen, sowie der äußerlichen Völkergeschichte.",Metaphernkandidat,,,,,A,,,,,
2217,,"[12]: sie verharren im Banne der traditionellen Dogmen und verlangen, daß die Vernunft sich unter diese „höhere Offenbarung“ beugen solle.",Metapher,beugen,Vernunft,A,,A,,,,,
2218,,"[13]: Von den drei großen Feindinnen der Vernunft und Wissenschaft ist die gefährlichste nicht die Bosheit, sondern die Unwissenheit und vielleicht noch mehr die Trägheit.",Metapher,drei großen Feindinnen,der Vernunft und Wissenschaft,B,,A,,,,,
2219,,"[14]: Seitdem hat sich das Verhältniß zum Glück gründlich geändert; indem beide Heere auf verschiedenen Wegen nach dem- selben höchsten Ziele strebten, haben sie sich in demselben zusammengefunden und nähern sich im gemeinsamen Bunde immer mehr der Erkenntniß der Wahrheit.",Metaphernkandidat,,,,,A,,,,,
2220,,"[15]: Das Emporblühen des Christenthums und der damit verknüpften mystischen Weltanschauung bereitete der Anatomie, wie allen anderen Naturwissenschaften, den Niedergang.",Metaphernkandidat,,,,,A,,,,,
